,tconst,merge_id,release_date,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross
0,tt1542344,2010 127 Hours,2010,"Adventure,Biography,Drama",7.6,323949,18000000.0,18335230.0,60217171.0
1,tt1484522,2010 8: The Mormon Proposition,2010,Documentary,7.0,1190,2500000.0,100280.0,100280.0
2,tt1179056,2010 A Nightmare on Elm Street,2010,"Crime,Drama,Horror",5.2,85497,35000000.0,63075011.0,117729621.0
3,tt1014759,2010 Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,200000000.0,334191110.0,1025491110.0
4,tt1175709,2010 All Good Things,2010,"Crime,Drama,Mystery",6.3,49684,20000000.0,582024.0,873617.0
5,tt0393049,2010 Anderson's Cross,2010,"Comedy,Drama,Romance",5.5,106,300000.0,0.0,0.0
6,tt1313092,2010 Animal Kingdom,2010,"Crime,Drama",7.3,51576,4200000.0,1044039.0,8078683.0
7,tt1431181,2010 Another Year,2010,"Comedy,Drama",7.3,26273,8000000.0,3205706.0,20005613.0
8,tt0482461,2010 Barry Munday,2010,"Comedy,Drama,Romance",5.9,3846,3000000.0,0.0,0.0
9,tt0947798,2010 Black Swan,2010,"Drama,Thriller",8.0,648854,13000000.0,106954678.0,331266710.0
10,tt1210039,2010 Blood Done Sign My Name,2010,Drama,6.6,494,10000000.0,109383.0,109383.0
11,tt1120985,2010 Blue Valentine,2010,"Drama,Romance",7.4,170089,1000000.0,9737892.0,16566240.0
12,tt1462758,2010 Buried,2010,"Drama,Mystery,Thriller",7.0,139426,1987650.0,1044143.0,21270290.0
13,tt1126591,2010 Burlesque,2010,"Drama,Music,Musical",6.4,71021,55000000.0,39440655.0,90552675.0
14,tt1342096,2010 Butterfly,2010,"Horror,Thriller",4.7,53,250000.0,0.0,0.0
15,tt1106860,2010 Ca$h,2010,"Crime,Thriller",6.0,8605,7000000.0,46488.0,46488.0
16,tt1194417,2010 Casino Jack,2010,"Biography,Comedy,Crime",6.2,16191,12500000.0,2039869.0,2272186.0
17,tt1287468,2010 Cats & Dogs: The Revenge of Kitty Galore,2010,"Action,Comedy,Family",4.3,12642,85000000.0,43585753.0,113026383.0
18,tt1020558,2010 Centurion,2010,"Action,Adventure,Drama",6.4,74085,15000000.0,123570.0,7885048.0
19,tt1438254,2010 Charlie St. Cloud,2010,"Drama,Fantasy,Romance",6.5,55016,44000000.0,31206263.0,48478084.0
20,tt1663628,2010 Christmas Mail,2010,"Comedy,Drama,Family",5.8,1317,2500000.0,0.0,0.0
21,tt1129412,2010 Circle,2010,"Horror,Thriller",3.4,610,2000000.0,10024.0,10024.0
22,tt0800320,2010 Clash of the Titans,2010,"Action,Adventure,Fantasy",5.8,256176,125000000.0,163214888.0,493214888.0
23,tt1244754,2010 Conviction,2010,"Biography,Crime,Drama",7.2,39771,12500000.0,6797696.0,11826980.0
24,tt1385867,2010 Cop Out,2010,"Action,Comedy,Crime",5.6,81656,37000000.0,44875481.0,55909910.0
25,tt1555064,2010 Country Strong,2010,"Drama,Music",6.3,16296,15000000.0,20218921.0,20601987.0
26,tt1327709,2010 Cyrus,2010,"Crime,Horror,Mystery",4.7,944,7000000.0,7468936.0,10062896.0
27,tt1279935,2010 Date Night,2010,"Comedy,Crime,Romance",6.3,144683,55000000.0,98711404.0,152269033.0
28,tt0989757,2010 Dear John,2010,"Drama,Romance,War",6.3,128657,25000000.0,80014842.0,142033509.0
29,tt1328873,2010 Death Calls,2010,"Action,Adventure,Mystery",4.6,33,290000.0,0.0,0.0
30,tt1321509,2010 Death at a Funeral,2010,Comedy,5.7,42042,21000000.0,42739347.0,48977233.0
31,tt1323594,2010 Despicable Me,2010,"Animation,Comedy,Family",7.7,464511,69000000.0,251513985.0,543464573.0
32,tt1314655,2010 Devil,2010,"Horror,Mystery,Thriller",6.2,122080,10000000.0,33679655.0,63354114.0
